date,rain_in,rain_mm
2012-11-05,0,0
2012-11-06,0.0404,1.02616
2012-11-07,0.1901,4.828539999999999
2012-11-08,0,0
2012-11-09,0,0
2012-11-10,0,0
2012-11-11,0,0
2012-11-12,1.1001,27.94254
2012-11-13,0,0
2012-11-14,0,0
2012-11-15,0,0
2012-11-16,0,0
2012-11-17,0,0
2012-11-18,0,0
2012-11-19,0,0
2012-11-20,2e-4,0.00508
2012-11-21,0,0
2012-11-22,0,0
2012-11-23,0.15009999999999998,3.8125399999999994
2012-11-24,0,0
2012-11-25,0,0
2012-11-26,0.0201,0.51054
2012-11-27,0.3504,8.90016
2012-11-28,0,0
2012-11-29,0,0
2012-11-30,0,0
2012-12-01,0,0
2012-12-02,0,0
2012-12-03,0,0
2012-12-04,0.45030000000000003,11.43762
2012-12-05,0.0505,1.2827
2012-12-06,0,0
2012-12-07,0.0101,0.25654
2012-12-08,0.3302,8.38708
2012-12-09,0.461,11.7094
2012-12-10,1.3004,33.030159999999995
2012-12-11,0,0
2012-12-12,0,0
2012-12-13,0,0
2012-12-14,0,0
2012-12-15,0.020300000000000002,0.5156200000000001
2012-12-16,0,0
2012-12-17,0.4907,12.46378
2012-12-18,0,0
2012-12-19,0,0
2012-12-20,0.7303000000000001,18.54962
2012-12-21,3.0000000000000003e-4,0.00762
2012-12-22,0,0
2012-12-23,0.16040000000000001,4.07416
2012-12-24,0.24029999999999999,6.103619999999999
2012-12-25,1e-4,0.00254
2012-12-26,2.0809,52.85486
2012-12-27,2e-4,0.00508
2012-12-28,0.1405,3.5687
2012-12-29,0.8021,20.37334
2012-12-30,7e-4,0.017779999999999997
2012-12-31,2e-4,0.00508
2013-01-01,0.7416,18.83664
2013-01-02,0,0
2013-01-03,0,0
2013-01-04,0,0
2013-01-05,1e-4,0.00254
2013-01-06,0,0
2013-01-07,0,0
2013-01-08,0,0
2013-01-09,0.9704,24.64816
2013-01-10,1.3102,33.27908
2013-01-11,0.0906,2.30124
2013-01-12,2.4502,62.23508
2013-01-13,4.1203,104.65562
2013-01-14,0.15030000000000002,3.8176200000000002
2013-01-15,0.3408,8.65632
2013-01-16,0.6206,15.76324
2013-01-17,0.0105,0.2667
2013-01-18,0,0
2013-01-19,0,0
2013-01-20,0,0
2013-01-21,0,0
2013-01-22,0,0
2013-01-23,0,0
2013-01-24,0,0
2013-01-25,1.1703000000000001,29.725620000000003
2013-01-26,0,0
2013-01-27,0,0
2013-01-28,3.0000000000000003e-4,0.00762
2013-01-29,0,0
2013-01-30,2.1502,54.61507999999999
2013-01-31,1e-4,0.00254
2013-02-01,0.2601,6.60654
2013-02-02,0.1409,3.5788599999999997
2013-02-03,0.040100000000000004,1.01854
2013-02-04,0,0
2013-02-05,1e-4,0.00254
2013-02-06,0,0
2013-02-07,0,0
2013-02-08,0.2203,5.595619999999999
2013-02-09,0,0
2013-02-10,1.8202,46.23308
2013-02-11,0,0
2013-02-12,0,0
2013-02-13,0.4209,10.690859999999999
2013-02-14,0,0
2013-02-15,2e-4,0.00508
2013-02-16,0,0
2013-02-17,0,0
2013-02-18,0,0
2013-02-19,0.4309,10.94486
2013-02-20,0,0
2013-02-21,0.18,4.571999999999999
2013-02-22,0.9504,24.140159999999998
2013-02-23,0,0
2013-02-24,0,0
2013-02-25,0,0
2013-02-26,0.1907,4.84378
2013-02-27,0.0206,0.5232399999999999
2013-02-28,0.0204,0.51816
2013-03-01,0.0218,0.55372
2013-03-02,0.1442,3.6626799999999995
2013-03-03,7e-4,0.017779999999999997
2013-03-04,0,0
2013-03-05,2.2905,58.1787
2013-03-06,0.0014,0.035559999999999994
2013-03-07,0,0
2013-03-08,0,0
2013-03-09,0,0
2013-03-10,0,0
2013-03-11,1.0407,26.43378
2013-03-12,0,0
2013-03-13,0,0
2013-03-14,0.01,0.254
2013-03-15,0.03,0.7619999999999999
2013-03-16,0,0
2013-03-17,1e-4,0.00254
2013-03-18,4.990200000000001,126.75108000000002
2013-03-19,0,0
2013-03-20,1e-4,0.00254
2013-03-21,0,0
2013-03-22,0,0
2013-03-23,0.0102,0.25908
2013-03-24,0.901,22.8854
2013-03-25,0.0012000000000000001,0.03048
2013-03-26,0.0225,0.5714999999999999
2013-03-27,0,0
2013-03-28,0,0
2013-03-29,0.3907,9.923779999999999
2013-03-30,0.3204,8.13816
2013-03-31,0.4403,11.18362
2013-04-01,0,0
2013-04-02,2e-4,0.00508
2013-04-03,0,0
2013-04-04,0.1012,2.57048
2013-04-05,0.03,0.7619999999999999
2013-04-06,0,0
2013-04-07,0,0
2013-04-08,0,0
2013-04-09,0,0
2013-04-10,0,0
2013-04-11,3.84,97.53599999999999
2013-04-12,0.2203,5.595619999999999
2013-04-13,0,0
2013-04-14,2e-4,0.00508
2013-04-15,0,0
2013-04-16,0.01,0.254
2013-04-17,0,0
2013-04-18,0,0
2013-04-19,4.0101,101.85654000000001
2013-04-20,0,0
2013-04-21,0,0
2013-04-22,0,0
2013-04-23,0,0
2013-04-24,1.9503,49.53762
2013-04-25,0,0
2013-04-26,2e-4,0.00508
2013-04-27,3.4402,87.38108
2013-04-28,2.8005,71.1327
2013-04-29,0,0
2013-04-30,0,0
2013-05-01,0,0
2013-05-02,0,0
2013-05-03,0,0
2013-05-04,1.7103,43.44161999999999
2013-05-05,0.3201,8.13054
2013-05-06,0.131,3.3274
2013-05-07,0.07,1.778
2013-05-08,0.09,2.2859999999999996
2013-05-09,0.0201,0.51054
2013-05-10,0.47050000000000003,11.9507
2013-05-11,0.0202,0.51308
2013-05-12,0,0
2013-05-13,0,0
2013-05-14,0,0
2013-05-15,0,0
2013-05-16,0,0
2013-05-17,0.8407,21.35378
2013-05-18,0.0201,0.51054
2013-05-19,0.0303,0.76962
2013-05-20,0,0
2013-05-21,0.2701,6.860539999999999
2013-05-22,0.1303,3.30962
2013-05-23,0.01,0.254
2013-05-24,0,0
2013-05-25,0,0
2013-05-26,0,0
2013-05-27,0,0
2013-05-28,0,0
2013-05-29,0,0
2013-05-30,1e-4,0.00254
2013-05-31,0.0102,0.25908
2013-06-01,1.05,26.669999999999998
2013-06-02,0.0103,0.26161999999999996
2013-06-03,1e-4,0.00254
2013-06-04,0,0
